name,tags,time,host,unit,value
CumEg1,,1600764145068,3471282,kilowattHours,309700
CumEg1,,1600764145069,3471282,kilowattHours,309700
CumEg1,,1600767302239000000,3471282,kilowattHours,309800
CumEg1,,1600768998882000000,3471259,kilowattHours,55030
CumEg1,,1600769000085000000,3471260,kilowattHours,562170
CumEg1,,1600770389545000000,3471282,kilowattHours,309900
CumEg1,,1600773250707000000,3471282,kilowattHours,310000
CumEg1,,1600775717749000000,3471282,kilowattHours,310100
CumEg1,,1600776329128000000,3471259,kilowattHours,55070
CumEg1,,1600776330329000000,3471260,kilowattHours,562190
CumEg1,,1600776332130000000,3471261,kilowattHours,389520
CumEg1,,1600776333836000000,3471262,kilowattHours,118054
CumEg1,,1600778608226000000,3471282,kilowattHours,310200
CumEg1,,1600781666017000000,3471282,kilowattHours,310300
CumEg1,,1600781666018000000,3471282,kilowattHours,310300
CumEg1,,1600783659254000000,3471259,kilowattHours,55100
CumEg1,,1600783660351000000,3471260,kilowattHours,562210
CumEg1,,1600784655560000000,3471282,kilowattHours,310400
CumEg1,,1600784655561000000,3471282,kilowattHours,310400
CumEg1,,1600788108634000000,3471282,kilowattHours,310500
CumEg1,,1600790990645000000,3471259,kilowattHours,55120
CumEg1,,1600790991847000000,3471260,kilowattHours,562220
CumEg1,,1600791690855000000,3471282,kilowattHours,310600
CumEg1,,1600795933240000000,3471282,kilowattHours,310700
CumEg1,,1600798320827000000,3471259,kilowattHours,55140
CumEg1,,1600798322029000000,3471260,kilowattHours,562290
CumEg1,,1600798323837000000,3471261,kilowattHours,389540
CumEg1,,1600798325643000000,3471262,kilowattHours,118056
CumEg1,,1600800205537000000,3471282,kilowattHours,310800
CumEg1,,1600800205538000000,3471282,kilowattHours,310800
CumEg1,,1600805336053000000,3471282,kilowattHours,310900
CumEg1,,1600805651126000000,3471259,kilowattHours,55150
CumEg1,,1600805653529000000,3471260,kilowattHours,562400
CumEg1,,1600805654136000000,3471261,kilowattHours,389570
CumEg1,,1600805655940000000,3471262,kilowattHours,118060
CumEg1,,1600811285090000000,3471282,kilowattHours,311000
CumEg1,,1600811285101000000,3471282,kilowattHours,311000
CumEg1,,1600812981964000000,3471259,kilowattHours,55160
CumEg1,,1600812983063000000,3471260,kilowattHours,562520
CumEg1,,1600812984878000000,3471261,kilowattHours,389600
CumEg1,,1600812986078000000,3471262,kilowattHours,118063
CumEg1,,1600818712562000000,3471282,kilowattHours,311100
CumEg1,,1600820311266000000,3471259,kilowattHours,55180
CumEg1,,1600820312366000000,3471260,kilowattHours,562660
CumEg1,,1600820314177000000,3471261,kilowattHours,389640
CumEg1,,1600820315414000000,3471262,kilowattHours,118067
CumEg1,,1600826141407000000,3471282,kilowattHours,311200
CumEg1,,1600827641623000000,3471259,kilowattHours,55190
CumEg1,,1600827642831000000,3471260,kilowattHours,562820
CumEg1,,1600827644028000000,3471261,kilowattHours,389690
CumEg1,,1600827645837000000,3471262,kilowattHours,118083
CumEg1,,1600834161810000000,3471282,kilowattHours,311300
