name,tags,time,host,unit,value
CumVlm1,,1600763058588,3471282,cubicMeters,32505
CumVlm1,,1600763453143,3471282,cubicMeters,32506
CumVlm1,,1600763749318,3471282,cubicMeters,32507
CumVlm1,,1600763749319,3471282,cubicMeters,32507
CumVlm1,,1600764145067,3471282,cubicMeters,32508
CumVlm1,,1600764441953,3471282,cubicMeters,32509
CumVlm1,,1600764736786000000,3471282,cubicMeters,32510
CumVlm1,,1600765032627000000,3471282,cubicMeters,32511
CumVlm1,,1600765032628000000,3471282,cubicMeters,32511
CumVlm1,,1600765229519000000,3471282,cubicMeters,32512
CumVlm1,,1600765525822000000,3471282,cubicMeters,32513
CumVlm1,,1600765525823000000,3471282,cubicMeters,32513
CumVlm1,,1600765723793000000,3471282,cubicMeters,32514
CumVlm1,,1600765920956000000,3471282,cubicMeters,32515
CumVlm1,,1600766117952000000,3471282,cubicMeters,32516
CumVlm1,,1600766315108000000,3471282,cubicMeters,32517
CumVlm1,,1600766315109000000,3471282,cubicMeters,32517
CumVlm1,,1600766512459000000,3471282,cubicMeters,32518
CumVlm1,,1600766512470000000,3471282,cubicMeters,32518
CumVlm1,,1600766611686000000,3471282,cubicMeters,32519
CumVlm1,,1600766611707000000,3471282,cubicMeters,32519
CumVlm1,,1600766710025000000,3471282,cubicMeters,32520
CumVlm1,,1600766710137000000,3471282,cubicMeters,32520
CumVlm1,,1600766907555000000,3471282,cubicMeters,32521
CumVlm1,,1600767005598000000,3471282,cubicMeters,32522
CumVlm1,,1600767005599000000,3471282,cubicMeters,32522
CumVlm1,,1600767104643000000,3471282,cubicMeters,32524
CumVlm1,,1600767104645000000,3471282,cubicMeters,32524
CumVlm1,,1600767202997000000,3471282,cubicMeters,32525
CumVlm1,,1600767302238000000,3471282,cubicMeters,32527
CumVlm1,,1600767302239000000,3471282,cubicMeters,32527
CumVlm1,,1600767400620000000,3471282,cubicMeters,32529
CumVlm1,,1600767400631000000,3471282,cubicMeters,32529
CumVlm1,,1600767498930000000,3471282,cubicMeters,32531
CumVlm1,,1600767498931000000,3471282,cubicMeters,32531
CumVlm1,,1600767597504000000,3471282,cubicMeters,32533
CumVlm1,,1600767597505000000,3471282,cubicMeters,32533
CumVlm1,,1600767696700000000,3471282,cubicMeters,32535
CumVlm1,,1600767795385000000,3471282,cubicMeters,32537
CumVlm1,,1600767795388000000,3471282,cubicMeters,32537
CumVlm1,,1600767893876000000,3471282,cubicMeters,32539
CumVlm1,,1600767893877000000,3471282,cubicMeters,32539
CumVlm1,,1600767992761000000,3471282,cubicMeters,32541
CumVlm1,,1600767992762000000,3471282,cubicMeters,32541
CumVlm1,,1600768091159000000,3471282,cubicMeters,32543
CumVlm1,,1600768091160000000,3471282,cubicMeters,32543
CumVlm1,,1600768189728000000,3471282,cubicMeters,32545
CumVlm1,,1600768288215000000,3471282,cubicMeters,32547
CumVlm1,,1600768288226000000,3471282,cubicMeters,32547
CumVlm1,,1600768387784000000,3471282,cubicMeters,32549
CumVlm1,,1600768387786000000,3471282,cubicMeters,32549
CumVlm1,,1600768485394000000,3471282,cubicMeters,32551
CumVlm1,,1600768584521000000,3471282,cubicMeters,32553
CumVlm1,,1600768584622000000,3471282,cubicMeters,32553
CumVlm1,,1600768682961000000,3471282,cubicMeters,32555
CumVlm1,,1600768682962000000,3471282,cubicMeters,32555
CumVlm1,,1600768781586000000,3471282,cubicMeters,32557
CumVlm1,,1600768781587000000,3471282,cubicMeters,32557
CumVlm1,,1600768880637000000,3471282,cubicMeters,32559
CumVlm1,,1600768952922000000,3471264,cubicMeters,170.55099487304688
CumVlm1,,1600768953427000000,3471265,cubicMeters,575.114013671875
CumVlm1,,1600768953428000000,3471265,cubicMeters,575.114013671875
CumVlm1,,1600768954734000000,3471266,cubicMeters,2315
CumVlm1,,1600768955834000000,3471267,cubicMeters,313.8609924316406
CumVlm1,,1600768998882000000,3471259,cubicMeters,2124.300048828125
CumVlm1,,1600769000085000000,3471260,cubicMeters,15168.7001953125
CumVlm1,,1600769005402000000,3471282,cubicMeters,32562
CumVlm1,,1600769005403000000,3471282,cubicMeters,32562
CumVlm1,,1600769106916000000,3471282,cubicMeters,32564
