name,tags,time,host,unit,value
EelKuu5,,1600808404022000000,11029,kilowattHours,1934.9375
EelKuu5,,1600808404022000000,11030,kilowattHours,1017.984375
EelKuu5,,1600894804280000000,11029,kilowattHours,1938.71875
EelKuu5,,1600894804281000000,11030,kilowattHours,1023.171875
EelKuu5,,1600981203941000000,11029,kilowattHours,1980.625
EelKuu5,,1600981203941000000,11030,kilowattHours,997.0625
EelKuu5,,1601067604048000000,11029,kilowattHours,2068.75
EelKuu5,,1601067604048000000,11030,kilowattHours,1089.9375
EelKuu5,,1601067604049000000,11029,kilowattHours,2068.75
EelKuu5,,1601154004434000000,11029,kilowattHours,1657.25
EelKuu5,,1601154004436000000,11030,kilowattHours,627.46875
EelKuu5,,1601154004638000000,11029,kilowattHours,1657.25
EelKuu5,,1601154004638000000,11030,kilowattHours,627.46875
EelKuu5,,1601240402505000000,11029,kilowattHours,1631.90625
EelKuu5,,1601240402505000000,11030,kilowattHours,589.328125
EelKuu5,,1601295656534000000,11029,kilowattHours,1631.90625
EelKuu5,,1601295656735000000,11030,kilowattHours,589.328125
EelKuu5,,1601326802950000000,11029,kilowattHours,2176.90625
EelKuu5,,1601326802950000000,11030,kilowattHours,1273.3125
EelKuu5,,1601326802951000000,11030,kilowattHours,1273.3125
EelKuu5,,1601413202933000000,11029,kilowattHours,2342.28125
EelKuu5,,1601413202933000000,11030,kilowattHours,1258.609375
EelKuu5,,1601499602555000000,11029,kilowattHours,1989.03125
EelKuu5,,1601499602555000000,11030,kilowattHours,1123.28125
EelKuu5,,1601586002123000000,11029,kilowattHours,2024.25
EelKuu5,,1601586002123000000,11030,kilowattHours,1199.21875
EelKuu5,,1601672402534000000,11029,kilowattHours,1997.15625
EelKuu5,,1601672402535000000,11029,kilowattHours,1997.15625
EelKuu5,,1601672402535000000,11030,kilowattHours,1124.484375
EelKuu5,,1601758802065000000,11029,kilowattHours,1646.9375
EelKuu5,,1601758802066000000,11029,kilowattHours,1646.9375
EelKuu5,,1601758802066000000,11030,kilowattHours,638.6875
EelKuu5,,1601845202263000000,11029,kilowattHours,1844.96875
EelKuu5,,1601845202263000000,11030,kilowattHours,758.625
EelKuu5,,1601845202264000000,11030,kilowattHours,758.625
EelKuu5,,1601931601938000000,11030,kilowattHours,1200.40625
EelKuu5,,1601931601949000000,11029,kilowattHours,1989.4375
EelKuu5,,1601931601949000000,11030,kilowattHours,1200.40625
EelKuu5,,1602104402697000000,11030,kilowattHours,1163.6875
EelKuu5,,1602104402707000000,11029,kilowattHours,2033.09375
EelKuu5,,1602104402707000000,11030,kilowattHours,1163.6875
EelKuu5,,1602190802228000000,11029,kilowattHours,2281.875
EelKuu5,,1602190802228000000,11030,kilowattHours,1264.96875
EelKuu5,,1602190802412000000,11029,kilowattHours,2281.875
EelKuu5,,1602190802412000000,11030,kilowattHours,1264.96875
EelKuu5,,1602277202602000000,11029,kilowattHours,2080.5625
EelKuu5,,1602277202603000000,11030,kilowattHours,1168.3125
EelKuu5,,1602277202604000000,11029,kilowattHours,2080.5625
EelKuu5,,1602363602346000000,11030,kilowattHours,673.9375
