name,tags,time,host,unit,value
HetkL3R,,1600762694193,11030,kilovoltAmperesReactive,-10.254844665527344
HetkL3R,,1600762704590,11030,kilovoltAmperesReactive,-9.898612976074219
HetkL3R,,1600762714325,11030,kilovoltAmperesReactive,-10.176836967468262
HetkL3R,,1600762764336,11030,kilovoltAmperesReactive,-9.95779037475586
HetkL3R,,1600762774261,11030,kilovoltAmperesReactive,-10.193511962890625
HetkL3R,,1600762804260,11030,kilovoltAmperesReactive,-9.908049583435059
HetkL3R,,1600762809371,11030,kilovoltAmperesReactive,-9.626514434814453
HetkL3R,,1600762814195,11030,kilovoltAmperesReactive,-10.117940902709961
HetkL3R,,1600762889502,11029,kilovoltAmperesReactive,-23.648862838745117
HetkL3R,,1600762959473,11030,kilovoltAmperesReactive,-9.543047904968262
HetkL3R,,1600762969344,11029,kilovoltAmperesReactive,-24.105079650878906
HetkL3R,,1600762969648,11030,kilovoltAmperesReactive,-10.114928245544434
HetkL3R,,1600763054450,11030,kilovoltAmperesReactive,-10.485822677612305
HetkL3R,,1600763059289,11030,kilovoltAmperesReactive,-10.13862133026123
HetkL3R,,1600763129439,11030,kilovoltAmperesReactive,-9.90672492980957
HetkL3R,,1600763134457,11030,kilovoltAmperesReactive,-9.68578815460205
HetkL3R,,1600763139292,11030,kilovoltAmperesReactive,-9.987902641296387
HetkL3R,,1600763169396,11030,kilovoltAmperesReactive,-10.200418472290039
HetkL3R,,1600763299450,11030,kilovoltAmperesReactive,-9.791953086853027
HetkL3R,,1600763309573,11030,kilovoltAmperesReactive,-10.211077690124512
HetkL3R,,1600763314499,11029,kilovoltAmperesReactive,-23.886287689208984
HetkL3R,,1600763339501,11030,kilovoltAmperesReactive,-9.988490104675293
HetkL3R,,1600763344621,11030,kilovoltAmperesReactive,-9.742984771728516
HetkL3R,,1600763354442,11030,kilovoltAmperesReactive,-10.118298530578613
HetkL3R,,1600763374604,11030,kilovoltAmperesReactive,-9.844758987426758
HetkL3R,,1600763389456,11029,kilovoltAmperesReactive,-24.094823837280273
HetkL3R,,1600763389749,11030,kilovoltAmperesReactive,-9.544515609741211
HetkL3R,,1600763399474,11030,kilovoltAmperesReactive,-9.940913200378418
HetkL3R,,1600763509634,11030,kilovoltAmperesReactive,-9.548643112182617
HetkL3R,,1600763524492,11030,kilovoltAmperesReactive,-9.81599235534668
HetkL3R,,1600763574557,11029,kilovoltAmperesReactive,-23.871652603149414
HetkL3R,,1600763649719,11030,kilovoltAmperesReactive,-10.361920356750488
HetkL3R,,1600763654535,11030,kilovoltAmperesReactive,-9.946040153503418
HetkL3R,,1600763724497,11030,kilovoltAmperesReactive,-10.160161018371582
HetkL3R,,1600763729762,11029,kilovoltAmperesReactive,-24.07826805114746
HetkL3R,,1600763879678,11029,kilovoltAmperesReactive,-23.754716873168945
HetkL3R,,1600763884785,11030,kilovoltAmperesReactive,-9.943488121032715
HetkL3R,,1600763894724,11029,kilovoltAmperesReactive,-23.960721969604492
HetkL3R,,1600763985138,11030,kilovoltAmperesReactive,-9.158238410949707
HetkL3R,,1600763989603,11030,kilovoltAmperesReactive,-9.438127517700195
HetkL3R,,1600763994620,11030,kilovoltAmperesReactive,-9.795967102050781
HetkL3R,,1600763999748,11030,kilovoltAmperesReactive,-10.07571792602539
HetkL3R,,1600764044783,11030,kilovoltAmperesReactive,-9.494905471801758
HetkL3R,,1600764049679,11030,kilovoltAmperesReactive,-10.08566951751709
HetkL3R,,1600764059837,11029,kilovoltAmperesReactive,-24.18724250793457
HetkL3R,,1600764089836,11030,kilovoltAmperesReactive,-9.643533706665039
HetkL3R,,1600764099751,11030,kilovoltAmperesReactive,-9.890856742858887
HetkL3R,,1600764105067,11030,kilovoltAmperesReactive,-10.207366943359375
HetkL3R,,1600764290003,11030,kilovoltAmperesReactive,-10.005180358886719
HetkL3R,,1600764309833,11029,kilovoltAmperesReactive,-23.835798263549805
HetkL3R,,1600764314950,11029,kilovoltAmperesReactive,-23.568479537963867
HetkL3R,,1600764329932,11029,kilovoltAmperesReactive,-23.807462692260742
HetkL3R,,1600764349805,11030,kilovoltAmperesReactive,-10.485434532165527
HetkL3R,,1600764354913,11030,kilovoltAmperesReactive,-9.93796443939209
HetkL3R,,1600764374828,11030,kilovoltAmperesReactive,-9.485097885131836
HetkL3R,,1600764396939,11030,kilovoltAmperesReactive,-9.952049255371094
HetkL3R,,1600764464963,11029,kilovoltAmperesReactive,-23.520524978637695
HetkL3R,,1600764465257,11030,kilovoltAmperesReactive,-9.250886917114258
HetkL3R,,1600764469796,11030,kilovoltAmperesReactive,-9.727596282958984
HetkL3R,,1600764484860,11030,kilovoltAmperesReactive,-9.418497085571289
HetkL3R,,1600764489965,11030,kilovoltAmperesReactive,-9.729223251342773
HetkL3R,,1600764494781,11030,kilovoltAmperesReactive,-10.067075729370117
HetkL3R,,1600764509864,11029,kilovoltAmperesReactive,-23.279949188232422
HetkL3R,,1600764524876,11029,kilovoltAmperesReactive,-23.575637817382812
HetkL3R,,1600764549814,11030,kilovoltAmperesReactive,-9.853514671325684
HetkL3R,,1600764585068,11030,kilovoltAmperesReactive,-9.432466506958008
HetkL3R,,1600764599819,11030,kilovoltAmperesReactive,-9.934207916259766
HetkL3R,,1600764634975,11030,kilovoltAmperesReactive,-10.134331703186035
HetkL3R,,1600764774880000000,11029,kilovoltAmperesReactive,-23.893339157104492
HetkL3R,,1600764779990000000,11029,kilovoltAmperesReactive,-23.558988571166992
HetkL3R,,1600764794996000000,11029,kilovoltAmperesReactive,-23.860380172729492
HetkL3R,,1600764795300000000,11030,kilovoltAmperesReactive,-10.344161987304688
HetkL3R,,1600764799910000000,11030,kilovoltAmperesReactive,-9.814765930175781
HetkL3R,,1600764814969000000,11030,kilovoltAmperesReactive,-10.365071296691895
HetkL3R,,1600764820084000000,11030,kilovoltAmperesReactive,-10.121278762817383
HetkL3R,,1600764830034000000,11030,kilovoltAmperesReactive,-9.715130805969238
HetkL3R,,1600764844916000000,11030,kilovoltAmperesReactive,-10.154402732849121
HetkL3R,,1600764899862000000,11029,kilovoltAmperesReactive,-23.579092025756836
HetkL3R,,1600764904971000000,11030,kilovoltAmperesReactive,-10.625207901000977
HetkL3R,,1600764910281000000,11030,kilovoltAmperesReactive,-10.13563060760498
HetkL3R,,1600764914898000000,11029,kilovoltAmperesReactive,-23.930095672607422
HetkL3R,,1600764920048000000,11030,kilovoltAmperesReactive,-9.642330169677734
HetkL3R,,1600764929956000000,11030,kilovoltAmperesReactive,-9.956195831298828
HetkL3R,,1600764949908000000,11030,kilovoltAmperesReactive,-10.182137489318848
HetkL3R,,1600765054974000000,11030,kilovoltAmperesReactive,-10.384886741638184
HetkL3R,,1600765095174000000,11029,kilovoltAmperesReactive,-23.71523666381836
