name,tags,time,host,unit,value
KogEN22,,1600762666653,3471287,kilowattHours,1794.498046875
KogEN22,,1600762736376,3471239,kilowattHours,140611.65625
KogEN22,,1600762736377,3471239,kilowattHours,140611.65625
KogEN22,,1600762741223,3471243,kilowattHours,42829.375
KogEN22,,1600762741224,3471243,kilowattHours,42829.375
KogEN22,,1600762744142,3471245,kilowattHours,32147.865234375
KogEN22,,1600762747251,3471247,kilowattHours,24333.396484375
KogEN22,,1600762752350,3471250,kilowattHours,36766.33203125
KogEN22,,1600762752351,3471250,kilowattHours,36766.33203125
KogEN22,,1600762758263,3471254,kilowattHours,31598.51953125
KogEN22,,1600762763086,3471283,kilowattHours,186.7949981689453
KogEN22,,1600762835300,3471239,kilowattHours,140612.640625
KogEN22,,1600762835301,3471239,kilowattHours,140612.640625
KogEN22,,1600762840018,3471243,kilowattHours,42829.62890625
KogEN22,,1600762840019,3471243,kilowattHours,42829.62890625
KogEN22,,1600762843050,3471245,kilowattHours,32148.005859375
KogEN22,,1600762850832,3471250,kilowattHours,36767.13671875
KogEN22,,1600762850833,3471250,kilowattHours,36767.13671875
KogEN22,,1600762852033,3471251,kilowattHours,5310.7470703125
KogEN22,,1600762854951,3471253,kilowattHours,21259.564453125
KogEN22,,1600762857351,3471254,kilowattHours,31598.65234375
KogEN22,,1600762934058,3471239,kilowattHours,140613.609375
KogEN22,,1600762934059,3471239,kilowattHours,140613.609375
KogEN22,,1600762938897,3471243,kilowattHours,42829.8828125
KogEN22,,1600762938898,3471243,kilowattHours,42829.8828125
KogEN22,,1600762941912,3471245,kilowattHours,32148.1484375
KogEN22,,1600762943003,3471246,kilowattHours,22867.96484375
KogEN22,,1600762943014,3471246,kilowattHours,22867.96484375
KogEN22,,1600762944226,3471247,kilowattHours,24333.611328125
KogEN22,,1600762949037,3471250,kilowattHours,36767.86328125
KogEN22,,1600762954998,3471254,kilowattHours,31598.783203125
KogEN22,,1600762958067,3471257,kilowattHours,37046.86328125
KogEN22,,1600763032882,3471239,kilowattHours,140614.5625
KogEN22,,1600763037652,3471243,kilowattHours,42830.14453125
KogEN22,,1600763037653,3471243,kilowattHours,42830.14453125
KogEN22,,1600763038856,3471244,kilowattHours,19116.884765625
KogEN22,,1600763040061,3471245,kilowattHours,32148.29296875
KogEN22,,1600763047812,3471250,kilowattHours,36768.80859375
KogEN22,,1600763054358,3471254,kilowattHours,31598.91796875
KogEN22,,1600763131437,3471239,kilowattHours,140615.546875
KogEN22,,1600763135669,3471243,kilowattHours,42830.390625
KogEN22,,1600763135670,3471243,kilowattHours,42830.390625
KogEN22,,1600763138577,3471245,kilowattHours,32148.42578125
KogEN22,,1600763140392,3471246,kilowattHours,22868.16796875
KogEN22,,1600763141592,3471247,kilowattHours,24333.83203125
KogEN22,,1600763141602,3471247,kilowattHours,24333.83203125
KogEN22,,1600763146913,3471250,kilowattHours,36769.65234375
KogEN22,,1600763151123,3471253,kilowattHours,21259.84765625
KogEN22,,1600763152937,3471254,kilowattHours,31599.052734375
KogEN22,,1600763161256,3471288,kilowattHours,1367.2679443359375
KogEN22,,1600763230527,3471239,kilowattHours,140616.53125
KogEN22,,1600763234746,3471243,kilowattHours,42830.6484375
KogEN22,,1600763234747,3471243,kilowattHours,42830.6484375
KogEN22,,1600763237670,3471245,kilowattHours,32148.56640625
KogEN22,,1600763245494,3471250,kilowattHours,36770.11328125
KogEN22,,1600763246685,3471251,kilowattHours,5310.97900390625
KogEN22,,1600763246686,3471251,kilowattHours,5310.97900390625
KogEN22,,1600763251400,3471254,kilowattHours,31599.18359375
KogEN22,,1600763254412,3471257,kilowattHours,37047.13671875
KogEN22,,1600763328866,3471239,kilowattHours,140617.484375
KogEN22,,1600763333683,3471243,kilowattHours,42830.90234375
KogEN22,,1600763333684,3471243,kilowattHours,42830.90234375
KogEN22,,1600763336690,3471245,kilowattHours,32148.712890625
KogEN22,,1600763339005,3471247,kilowattHours,24334.056640625
KogEN22,,1600763339006,3471247,kilowattHours,24334.056640625
KogEN22,,1600763344408,3471250,kilowattHours,36770.6171875
KogEN22,,1600763344409,3471250,kilowattHours,36770.6171875
KogEN22,,1600763350420,3471254,kilowattHours,31599.3203125
KogEN22,,1600763428095,3471239,kilowattHours,140618.46875
KogEN22,,1600763428096,3471239,kilowattHours,140618.46875
KogEN22,,1600763432240,3471243,kilowattHours,42831.15625
KogEN22,,1600763433452,3471244,kilowattHours,19117.111328125
KogEN22,,1600763435255,3471245,kilowattHours,32148.849609375
KogEN22,,1600763436472,3471246,kilowattHours,22868.46875
KogEN22,,1600763442392,3471250,kilowattHours,36771.234375
KogEN22,,1600763447212,3471253,kilowattHours,21260.1328125
KogEN22,,1600763448922,3471254,kilowattHours,31599.453125
KogEN22,,1600763525989,3471239,kilowattHours,140619.453125
KogEN22,,1600763525999,3471239,kilowattHours,140619.453125
KogEN22,,1600763530708,3471243,kilowattHours,42831.4140625
KogEN22,,1600763533714,3471245,kilowattHours,32148.990234375
KogEN22,,1600763536719,3471247,kilowattHours,24334.279296875
KogEN22,,1600763541451,3471250,kilowattHours,36771.88671875
KogEN22,,1600763547465,3471254,kilowattHours,31599.591796875
KogEN22,,1600763550385,3471257,kilowattHours,37047.4140625
KogEN22,,1600763550386,3471257,kilowattHours,37047.4140625
KogEN22,,1600763625063,3471239,kilowattHours,140620.453125
KogEN22,,1600763629273,3471243,kilowattHours,42831.671875
KogEN22,,1600763629274,3471243,kilowattHours,42831.671875
KogEN22,,1600763632774,3471245,kilowattHours,32149.130859375
KogEN22,,1600763640004,3471250,kilowattHours,36772.4140625
