name,tags,time,host,unit,value
KogVoi,,1600762669304,11029,kilowatts,53.2369384765625
KogVoi,,1600762674413,11029,kilowatts,52.01103973388672
KogVoi,,1600762679134,11030,kilowatts,69.43608856201172
KogVoi,,1600762684251,11029,kilowatts,68.25196075439453
KogVoi,,1600762684455,11030,kilowatts,64.21327209472656
KogVoi,,1600762689374,11029,kilowatts,64.74675750732422
KogVoi,,1600762689374,11030,kilowatts,53.57956314086914
KogVoi,,1600762694193,11029,kilowatts,55.07216262817383
KogVoi,,1600762694497,11030,kilowatts,54.62577819824219
KogVoi,,1600762699298,11030,kilowatts,55.995296478271484
KogVoi,,1600762699308,11029,kilowatts,59.90320587158203
KogVoi,,1600762704387,11029,kilowatts,64.7816390991211
KogVoi,,1600762704590,11030,kilowatts,50.98617172241211
KogVoi,,1600762709203,11029,kilowatts,55.7195930480957
KogVoi,,1600762709204,11030,kilowatts,43.33721923828125
KogVoi,,1600762714325,11029,kilowatts,56.097049713134766
KogVoi,,1600762714325,11030,kilowatts,37.15165328979492
KogVoi,,1600762719245,11029,kilowatts,55.03888702392578
KogVoi,,1600762719447,11030,kilowatts,45.459327697753906
KogVoi,,1600762724264,11029,kilowatts,53.566593170166016
KogVoi,,1600762724264,11030,kilowatts,46.61271667480469
KogVoi,,1600762729361,11029,kilowatts,52.79118728637695
KogVoi,,1600762729361,11030,kilowatts,46.006675720214844
KogVoi,,1600762734160,11029,kilowatts,51.66127395629883
KogVoi,,1600762734160,11030,kilowatts,45.282466888427734
KogVoi,,1600762740925,11029,kilowatts,51.132545471191406
KogVoi,,1600762740925,11030,kilowatts,44.8721809387207
KogVoi,,1600762744244,11029,kilowatts,51.939186096191406
KogVoi,,1600762744244,11030,kilowatts,45.4427490234375
KogVoi,,1600762749353,11029,kilowatts,52.784461975097656
KogVoi,,1600762749353,11030,kilowatts,55.887306213378906
KogVoi,,1600762754465,11030,kilowatts,56.39275360107422
KogVoi,,1600762759272,11029,kilowatts,53.339412689208984
KogVoi,,1600762759273,11030,kilowatts,60.197731018066406
KogVoi,,1600762764337,11029,kilowatts,53.76250076293945
KogVoi,,1600762764337,11030,kilowatts,60.490657806396484
KogVoi,,1600762769154,11029,kilowatts,55.194271087646484
KogVoi,,1600762769154,11030,kilowatts,56.7878532409668
KogVoi,,1600762774260,11030,kilowatts,56.28079605102539
KogVoi,,1600762779409,11030,kilowatts,56.75632858276367
KogVoi,,1600762784222,11029,kilowatts,56.23442459106445
KogVoi,,1600762784222,11030,kilowatts,57.526573181152344
KogVoi,,1600762789328,11029,kilowatts,58.34621810913086
KogVoi,,1600762789329,11030,kilowatts,67.61357879638672
KogVoi,,1600762794360,11029,kilowatts,60.0011100769043
KogVoi,,1600762794361,11030,kilowatts,68.59534454345703
KogVoi,,1600762799219,11029,kilowatts,59.47410202026367
KogVoi,,1600762799220,11030,kilowatts,67.700439453125
KogVoi,,1600762804261,11029,kilowatts,57.29372024536133
KogVoi,,1600762804261,11030,kilowatts,72.20799255371094
KogVoi,,1600762809370,11029,kilowatts,56.3570671081543
KogVoi,,1600762809371,11030,kilowatts,59.64814376831055
KogVoi,,1600762814194,11029,kilowatts,57.648109436035156
KogVoi,,1600762814195,11030,kilowatts,53.607093811035156
KogVoi,,1600762824220,11029,kilowatts,58.4389533996582
KogVoi,,1600762824220,11030,kilowatts,48.152645111083984
KogVoi,,1600762829265,11029,kilowatts,57.943359375
KogVoi,,1600762834397,11029,kilowatts,60.18459701538086
KogVoi,,1600762834401,11030,kilowatts,49.75508499145508
KogVoi,,1600762839218,11029,kilowatts,56.76130294799805
KogVoi,,1600762839218,11030,kilowatts,40.10319137573242
KogVoi,,1600762844345,11029,kilowatts,54.45368576049805
KogVoi,,1600762844345,11030,kilowatts,41.08888244628906
KogVoi,,1600762849434,11030,kilowatts,46.460487365722656
