name,tags,time,host,unit,value
KogVoiR,,1600762684252,11029,kilovoltAmperesReactive,-75.71661376953125
KogVoiR,,1600762689374,11030,kilovoltAmperesReactive,-31.989686965942383
KogVoiR,,1600762694192,11029,kilovoltAmperesReactive,-76.08391571044922
KogVoiR,,1600762704387,11029,kilovoltAmperesReactive,-75.86019897460938
KogVoiR,,1600762704590,11030,kilovoltAmperesReactive,-30.740570068359375
KogVoiR,,1600762709203,11030,kilovoltAmperesReactive,-29.94582748413086
KogVoiR,,1600762714325,11030,kilovoltAmperesReactive,-31.383207321166992
KogVoiR,,1600762719448,11030,kilovoltAmperesReactive,-31.87610626220703
KogVoiR,,1600762724264,11030,kilovoltAmperesReactive,-32.087066650390625
KogVoiR,,1600762754453,11029,kilovoltAmperesReactive,-76.08331298828125
KogVoiR,,1600762759272,11030,kilovoltAmperesReactive,-30.758499145507812
KogVoiR,,1600762764336,11030,kilovoltAmperesReactive,-30.39546012878418
KogVoiR,,1600762769142,11030,kilovoltAmperesReactive,-31.640335083007812
KogVoiR,,1600762774260,11029,kilovoltAmperesReactive,-75.81578063964844
KogVoiR,,1600762789329,11029,kilovoltAmperesReactive,-75.56792449951172
KogVoiR,,1600762794360,11030,kilovoltAmperesReactive,-32.185508728027344
KogVoiR,,1600762799219,11030,kilovoltAmperesReactive,-31.616779327392578
KogVoiR,,1600762799220,11029,kilovoltAmperesReactive,-75.76905822753906
KogVoiR,,1600762804556,11030,kilovoltAmperesReactive,-30.437965393066406
KogVoiR,,1600762809574,11030,kilovoltAmperesReactive,-29.60650062561035
KogVoiR,,1600762814489,11030,kilovoltAmperesReactive,-31.327808380126953
KogVoiR,,1600762824221,11030,kilovoltAmperesReactive,-31.544734954833984
KogVoiR,,1600762839220,11030,kilovoltAmperesReactive,-31.280046463012695
KogVoiR,,1600762844648,11030,kilovoltAmperesReactive,-31.877643585205078
KogVoiR,,1600762849434,11029,kilovoltAmperesReactive,-75.48001861572266
KogVoiR,,1600762849435,11030,kilovoltAmperesReactive,-31.30348777770996
KogVoiR,,1600762859363,11030,kilovoltAmperesReactive,-30.976778030395508
KogVoiR,,1600762889796,11030,kilovoltAmperesReactive,-31.20021629333496
KogVoiR,,1600762894355,11030,kilovoltAmperesReactive,-30.853675842285156
KogVoiR,,1600762904233,11030,kilovoltAmperesReactive,-31.085796356201172
KogVoiR,,1600762904234,11029,kilovoltAmperesReactive,-75.70838928222656
KogVoiR,,1600762909555,11030,kilovoltAmperesReactive,-30.781301498413086
KogVoiR,,1600762914470,11030,kilovoltAmperesReactive,-31.052465438842773
KogVoiR,,1600762954300,11030,kilovoltAmperesReactive,-30.708110809326172
KogVoiR,,1600762959473,11030,kilovoltAmperesReactive,-28.829452514648438
KogVoiR,,1600762964298,11030,kilovoltAmperesReactive,-29.327402114868164
KogVoiR,,1600762964299,11029,kilovoltAmperesReactive,-75.93275451660156
KogVoiR,,1600762969345,11029,kilovoltAmperesReactive,-76.23302459716797
KogVoiR,,1600762969648,11030,kilovoltAmperesReactive,-30.873390197753906
KogVoiR,,1600762974430,11030,kilovoltAmperesReactive,-30.492902755737305
KogVoiR,,1600762979348,11029,kilovoltAmperesReactive,-75.7934341430664
KogVoiR,,1600762989499,11029,kilovoltAmperesReactive,-76.05078125
KogVoiR,,1600762994315,11030,kilovoltAmperesReactive,-30.17960548400879
KogVoiR,,1600762999401,11029,kilovoltAmperesReactive,-76.25394439697266
KogVoiR,,1600762999402,11030,kilovoltAmperesReactive,-30.69687843322754
KogVoiR,,1600763004232,11029,kilovoltAmperesReactive,-76.01679992675781
KogVoiR,,1600763009360,11030,kilovoltAmperesReactive,-30.41143798828125
KogVoiR,,1600763014469,11030,kilovoltAmperesReactive,-30.661293029785156
KogVoiR,,1600763039657,11030,kilovoltAmperesReactive,-29.827768325805664
KogVoiR,,1600763044674,11030,kilovoltAmperesReactive,-30.55183219909668
KogVoiR,,1600763064313,11030,kilovoltAmperesReactive,-30.279499053955078
KogVoiR,,1600763079385,11029,kilovoltAmperesReactive,-75.78327941894531
KogVoiR,,1600763079587,11030,kilovoltAmperesReactive,-30.06825065612793
KogVoiR,,1600763104362,11029,kilovoltAmperesReactive,-76.05482482910156
KogVoiR,,1600763104363,11030,kilovoltAmperesReactive,-30.289569854736328
KogVoiR,,1600763114401,11030,kilovoltAmperesReactive,-30.837867736816406
KogVoiR,,1600763124324,11030,kilovoltAmperesReactive,-30.618019104003906
KogVoiR,,1600763129439,11030,kilovoltAmperesReactive,-29.520936965942383
KogVoiR,,1600763134457,11030,kilovoltAmperesReactive,-28.720500946044922
KogVoiR,,1600763139292,11030,kilovoltAmperesReactive,-30.041128158569336
KogVoiR,,1600763144512,11030,kilovoltAmperesReactive,-30.8143367767334
KogVoiR,,1600763149520,11030,kilovoltAmperesReactive,-30.49899673461914
KogVoiR,,1600763164584,11030,kilovoltAmperesReactive,-31.160261154174805
KogVoiR,,1600763169396,11029,kilovoltAmperesReactive,-75.74653625488281
KogVoiR,,1600763169396,11030,kilovoltAmperesReactive,-30.549406051635742
KogVoiR,,1600763179523,11029,kilovoltAmperesReactive,-75.95552062988281
KogVoiR,,1600763194480,11030,kilovoltAmperesReactive,-30.821996688842773
KogVoiR,,1600763204414,11030,kilovoltAmperesReactive,-30.59522819519043
KogVoiR,,1600763209528,11030,kilovoltAmperesReactive,-30.818161010742188
KogVoiR,,1600763229428,11030,kilovoltAmperesReactive,-30.49612045288086
KogVoiR,,1600763249502,11030,kilovoltAmperesReactive,-30.719161987304688
KogVoiR,,1600763254411,11030,kilovoltAmperesReactive,-31.055387496948242
KogVoiR,,1600763259416,11029,kilovoltAmperesReactive,-76.18336486816406
KogVoiR,,1600763259730,11030,kilovoltAmperesReactive,-30.72418975830078
KogVoiR,,1600763269377,11030,kilovoltAmperesReactive,-31.135499954223633
KogVoiR,,1600763274505,11030,kilovoltAmperesReactive,-30.82114028930664
KogVoiR,,1600763284376,11030,kilovoltAmperesReactive,-31.173254013061523
KogVoiR,,1600763289495,11030,kilovoltAmperesReactive,-30.85951805114746
KogVoiR,,1600763294619,11029,kilovoltAmperesReactive,-75.9465103149414
KogVoiR,,1600763294620,11030,kilovoltAmperesReactive,-30.402450561523438
KogVoiR,,1600763299450,11030,kilovoltAmperesReactive,-29.276134490966797
KogVoiR,,1600763304544,11030,kilovoltAmperesReactive,-29.881593704223633
KogVoiR,,1600763309573,11030,kilovoltAmperesReactive,-30.774547576904297
KogVoiR,,1600763314498,11030,kilovoltAmperesReactive,-30.988067626953125
KogVoiR,,1600763314499,11029,kilovoltAmperesReactive,-75.74478149414062
KogVoiR,,1600763324447,11030,kilovoltAmperesReactive,-30.744218826293945
KogVoiR,,1600763334383,11030,kilovoltAmperesReactive,-31.220726013183594
KogVoiR,,1600763339501,11030,kilovoltAmperesReactive,-29.990798950195312
KogVoiR,,1600763344621,11030,kilovoltAmperesReactive,-29.074542999267578
KogVoiR,,1600763349429,11030,kilovoltAmperesReactive,-30.191551208496094
KogVoiR,,1600763354442,11030,kilovoltAmperesReactive,-30.625247955322266
KogVoiR,,1600763369486,11029,kilovoltAmperesReactive,-75.1462173461914
KogVoiR,,1600763374604,11030,kilovoltAmperesReactive,-29.8768367767334
KogVoiR,,1600763379436,11030,kilovoltAmperesReactive,-29.426366806030273
KogVoiR,,1600763384629,11029,kilovoltAmperesReactive,-75.76988220214844
KogVoiR,,1600763384841,11030,kilovoltAmperesReactive,-30.08444595336914
KogVoiR,,1600763389456,11029,kilovoltAmperesReactive,-76.17526245117188
KogVoiR,,1600763389749,11030,kilovoltAmperesReactive,-29.217182159423828
KogVoiR,,1600763399474,11030,kilovoltAmperesReactive,-30.583786010742188
KogVoiR,,1600763404496,11030,kilovoltAmperesReactive,-31.49231719970703
KogVoiR,,1600763409633,11030,kilovoltAmperesReactive,-30.463926315307617
KogVoiR,,1600763439482,11030,kilovoltAmperesReactive,-30.733558654785156
KogVoiR,,1600763454733,11030,kilovoltAmperesReactive,-30.979276657104492
KogVoiR,,1600763464475,11030,kilovoltAmperesReactive,-30.655725479125977
KogVoiR,,1600763484599,11029,kilovoltAmperesReactive,-75.9336929321289
KogVoiR,,1600763509634,11030,kilovoltAmperesReactive,-29.263452529907227
KogVoiR,,1600763514444,11030,kilovoltAmperesReactive,-28.854530334472656
KogVoiR,,1600763519959,11029,kilovoltAmperesReactive,-75.73149871826172
KogVoiR,,1600763524491,11029,kilovoltAmperesReactive,-75.94943237304688
KogVoiR,,1600763524786,11030,kilovoltAmperesReactive,-30.29913330078125
KogVoiR,,1600763529607,11030,kilovoltAmperesReactive,-30.575132369995117
KogVoiR,,1600763534512,11030,kilovoltAmperesReactive,-30.365814208984375
KogVoiR,,1600763539650,11030,kilovoltAmperesReactive,-30.144550323486328
KogVoiR,,1600763559524,11030,kilovoltAmperesReactive,-30.438318252563477
KogVoiR,,1600763564603,11029,kilovoltAmperesReactive,-75.55541229248047
KogVoiR,,1600763594620,11029,kilovoltAmperesReactive,-75.90653228759766
KogVoiR,,1600763604547,11030,kilovoltAmperesReactive,-30.8664493560791
KogVoiR,,1600763609686,11030,kilovoltAmperesReactive,-30.603290557861328
KogVoiR,,1600763614524,11029,kilovoltAmperesReactive,-75.54437255859375
KogVoiR,,1600763619633,11030,kilovoltAmperesReactive,-30.8298397064209
KogVoiR,,1600763624759,11030,kilovoltAmperesReactive,-30.315887451171875
KogVoiR,,1600763649719,11030,kilovoltAmperesReactive,-31.445709228515625
KogVoiR,,1600763654535,11030,kilovoltAmperesReactive,-30.196340560913086
KogVoiR,,1600763664688,11030,kilovoltAmperesReactive,-29.814836502075195
KogVoiR,,1600763694657,11030,kilovoltAmperesReactive,-30.044652938842773
KogVoiR,,1600763699712,11029,kilovoltAmperesReactive,-75.8269271850586
KogVoiR,,1600763709664,11029,kilovoltAmperesReactive,-75.53973388671875
KogVoiR,,1600763719594,11030,kilovoltAmperesReactive,-30.95318603515625
KogVoiR,,1600763724498,11030,kilovoltAmperesReactive,-31.237913131713867
KogVoiR,,1600763729964,11029,kilovoltAmperesReactive,-76.08724975585938
KogVoiR,,1600763734527,11030,kilovoltAmperesReactive,-30.954504013061523
KogVoiR,,1600763744778,11030,kilovoltAmperesReactive,-30.679582595825195
KogVoiR,,1600763749519,11029,kilovoltAmperesReactive,-75.69365692138672
KogVoiR,,1600763749812,11030,kilovoltAmperesReactive,-30.268796920776367
KogVoiR,,1600763754653,11029,kilovoltAmperesReactive,-75.98147583007812
KogVoiR,,1600763754847,11030,kilovoltAmperesReactive,-31.065902709960938
KogVoiR,,1600763759787,11030,kilovoltAmperesReactive,-30.68324089050293
KogVoiR,,1600763769610,11029,kilovoltAmperesReactive,-76.21183013916016
KogVoiR,,1600763769915,11030,kilovoltAmperesReactive,-30.415828704833984
KogVoiR,,1600763774737,11030,kilovoltAmperesReactive,-30.708351135253906
KogVoiR,,1600763779543,11030,kilovoltAmperesReactive,-30.3913631439209
KogVoiR,,1600763789708,11030,kilovoltAmperesReactive,-30.683238983154297
KogVoiR,,1600763794590,11030,kilovoltAmperesReactive,-30.279829025268555
KogVoiR,,1600763804608,11030,kilovoltAmperesReactive,-31.311153411865234
KogVoiR,,1600763809623,11030,kilovoltAmperesReactive,-30.524433135986328
KogVoiR,,1600763824840,11030,kilovoltAmperesReactive,-30.256086349487305
KogVoiR,,1600763839715,11029,kilovoltAmperesReactive,-75.88328552246094
KogVoiR,,1600763849625,11029,kilovoltAmperesReactive,-76.08718872070312
