name,tags,time,host,unit,value
L1A,,1600762666451,13318,amperes,146
L1A,,1600762669304,11029,amperes,140.95431518554688
L1A,,1600762669304,11030,amperes,115.64690399169922
L1A,,1600762671512,13318,amperes,149
L1A,,1600762674413,11029,amperes,139.3687286376953
L1A,,1600762674414,11030,amperes,115.96984100341797
L1A,,1600762676722,13318,amperes,150
L1A,,1600762679134,11029,amperes,139.8084716796875
L1A,,1600762679135,11030,amperes,116.67671966552734
L1A,,1600762684251,11029,amperes,150.692138671875
L1A,,1600762684454,11030,amperes,115.90056610107422
L1A,,1600762687261,13318,amperes,118
L1A,,1600762689373,11029,amperes,148.00376892089844
L1A,,1600762689374,11030,amperes,113.0647201538086
L1A,,1600762691486,13318,amperes,135
L1A,,1600762694193,11029,amperes,140.69155883789062
L1A,,1600762694498,11030,amperes,114.06128692626953
L1A,,1600762696696,13318,amperes,144
L1A,,1600762699298,11029,amperes,143.37196350097656
L1A,,1600762699510,11030,amperes,115.72138977050781
L1A,,1600762702012,13318,amperes,132
L1A,,1600762704387,11029,amperes,147.41244506835938
L1A,,1600762704590,11030,amperes,104.06828308105469
L1A,,1600762706494,13318,amperes,137
L1A,,1600762709204,11029,amperes,139.95785522460938
L1A,,1600762709406,11030,amperes,83.84254455566406
L1A,,1600762711496,13318,amperes,142
L1A,,1600762714324,11029,amperes,142.7433624267578
L1A,,1600762714517,11030,amperes,77.67410278320312
L1A,,1600762717526,13318,amperes,143
L1A,,1600762719244,11029,amperes,138.29898071289062
L1A,,1600762719448,11030,amperes,96.60897064208984
L1A,,1600762721964,13318,amperes,145
L1A,,1600762724264,11029,amperes,137.42327880859375
L1A,,1600762724264,11030,amperes,99.28691101074219
L1A,,1600762727657,13318,amperes,147
L1A,,1600762729360,11029,amperes,136.74383544921875
L1A,,1600762729361,11030,amperes,96.871826171875
L1A,,1600762731959,13318,amperes,148
L1A,,1600762734160,11029,amperes,135.5909881591797
L1A,,1600762736772,13318,amperes,150
L1A,,1600762740927,11030,amperes,96.32343292236328
L1A,,1600762742029,13318,amperes,151
L1A,,1600762744244,11029,amperes,136.11041259765625
L1A,,1600762744244,11030,amperes,95.7077865600586
L1A,,1600762746441,13318,amperes,148
L1A,,1600762749353,11029,amperes,137.004150390625
L1A,,1600762749353,11030,amperes,114.89734649658203
L1A,,1600762754464,11030,amperes,115.26229095458984
L1A,,1600762754465,11029,amperes,137.2868194580078
L1A,,1600762759272,11029,amperes,137.82876586914062
L1A,,1600762759273,11030,amperes,121.80953216552734
L1A,,1600762761974,13318,amperes,147
L1A,,1600762764337,11030,amperes,120.47720336914062
L1A,,1600762769141,11029,amperes,140.39089965820312
L1A,,1600762769154,11030,amperes,116.55647277832031
L1A,,1600762772261,13318,amperes,145
L1A,,1600762774261,11029,amperes,139.26881408691406
L1A,,1600762774559,11030,amperes,115.72479248046875
L1A,,1600762779410,11029,amperes,139.0164794921875
L1A,,1600762779410,11030,amperes,116.22730255126953
L1A,,1600762782212,13318,amperes,143
L1A,,1600762784222,11029,amperes,140.0652313232422
L1A,,1600762784420,11030,amperes,116.85964965820312
L1A,,1600762789329,11029,amperes,139.74261474609375
L1A,,1600762789329,11030,amperes,127.91034698486328
L1A,,1600762792045,13318,amperes,141
L1A,,1600762794361,11029,amperes,140.71392822265625
L1A,,1600762794361,11030,amperes,130.29083251953125
L1A,,1600762797210,13318,amperes,140
L1A,,1600762799219,11029,amperes,139.84097290039062
L1A,,1600762799220,11030,amperes,128.68792724609375
L1A,,1600762802050,13318,amperes,142
L1A,,1600762804260,11029,amperes,138.62057495117188
L1A,,1600762804556,11030,amperes,137.7864990234375
L1A,,1600762806960,13318,amperes,147
L1A,,1600762809371,11029,amperes,137.9707794189453
L1A,,1600762809574,11030,amperes,118.80178833007812
L1A,,1600762811979,13318,amperes,146
L1A,,1600762814195,11029,amperes,138.8520965576172
L1A,,1600762814488,11030,amperes,110.99989318847656
L1A,,1600762818006,13318,amperes,144
L1A,,1600762819414,11030,amperes,110.43251037597656
L1A,,1600762819415,11029,amperes,140.00790405273438
L1A,,1600762822524,13318,amperes,141
L1A,,1600762824220,11030,amperes,104.04153442382812
L1A,,1600762824221,11029,amperes,141.02236938476562
L1A,,1600762827558,13318,amperes,140
L1A,,1600762829263,11029,amperes,139.71414184570312
L1A,,1600762829265,11030,amperes,104.9166488647461
L1A,,1600762834396,11029,amperes,141.5940704345703
L1A,,1600762834396,11030,amperes,106.39389038085938
L1A,,1600762837017,13318,amperes,135
L1A,,1600762839218,11030,amperes,84.30767822265625
L1A,,1600762839220,11029,amperes,138.366943359375
