name,tags,time,host,unit,value
Olek,,1600792103755000000,13318,noUnits,0
Olek,,1600833053174000000,13318,noUnits,1
Olek,,1600878198744000000,13318,noUnits,0
Olek,,1600919684195000000,13318,noUnits,1
Olek,,1600964196183000000,13318,noUnits,0
Olek,,1601006176307000000,13318,noUnits,1
Olek,,1601050407800000000,13318,noUnits,0
Olek,,1601092748616000000,13318,noUnits,1
Olek,,1601136545471000000,13318,noUnits,0
Olek,,1601179093416000000,13318,noUnits,1
Olek,,1601222998543000000,13318,noUnits,0
Olek,,1601265926589000000,13318,noUnits,1
Olek,,1601295653316000000,13318,noUnits,1
Olek,,1601308328826000000,13318,noUnits,0
Olek,,1601353005439000000,13318,noUnits,1
Olek,,1601392458097000000,13318,noUnits,0
Olek,,1601392757186000000,13318,noUnits,1
Olek,,1601393267847000000,13318,noUnits,0
Olek,,1601439928945000000,13318,noUnits,1
Olek,,1601481666390000000,13318,noUnits,0
Olek,,1601525205622000000,13318,noUnits,1
Olek,,1601567694503000000,13318,noUnits,0
Olek,,1601611879932000000,13318,noUnits,1
Olek,,1601654202516000000,13318,noUnits,0
Olek,,1601698504883000000,13318,noUnits,1
Olek,,1601740311005000000,13318,noUnits,0
Olek,,1601786654274000000,13318,noUnits,1
Olek,,1601825883974000000,13318,noUnits,0
Olek,,1601871644246000000,13318,noUnits,1
Olek,,1601911615047000000,13318,noUnits,0
Olek,,1601959193034000000,13318,noUnits,1
Olek,,1602085374719000000,13318,noUnits,0
Olek,,1602132453566000000,13318,noUnits,1
Olek,,1602171653558000000,13318,noUnits,0
Olek,,1602218158579000000,13318,noUnits,1
Olek,,1602256906186000000,13318,noUnits,0
Olek,,1602343806291000000,13318,noUnits,0
Olek,,1602391530644000000,13318,noUnits,1
Olek,,1602392517034000000,13318,noUnits,0
Olek,,1602392970645000000,13318,noUnits,1
Olek,,1602429521900000000,13318,noUnits,0
Olek,,1602477833028000000,13318,noUnits,1
Olek,,1602515851763000000,13318,noUnits,0
Olek,,1602565262649000000,13318,noUnits,1
Olek,,1602602666757000000,13318,noUnits,0
Olek,,1602650436413000000,13318,noUnits,1
Olek,,1602688219734000000,13318,noUnits,0
Olek,,1602738090718000000,13318,noUnits,1
Olek,,1602775742777000000,13318,noUnits,0
